id,pergunta,resposta,versiculo
1,A quem o autor escreveu o livro de Atos?,O destinatário do livro é Teófilo,Atos 1:1
2,"Quantos dias Jesus apareceu aos discípulos após a ressurreição, dando provas de que estava vivo?",Jesus apareceu aos discípulos por 40 dias,Atos 1:3
3,O que Jesus ordenou aos discípulos que não deixassem antes de serem revestidos com poder do alto?,Que não se ausentassem de Jerusalém,Atos 1:4
4,"Segundo Jesus, o que os discípulos receberiam ao descer sobre eles o Espírito Santo?","Mas recebereis o poder do Espírito Santo, que há de vir sobre vós",Atos 1:8
5,Quais regiões Jesus mencionou como lugares onde os discípulos seriam suas testemunhas?,"Tanto em Jerusalém como em toda a Judeia e Samaria, e até aos confins da terra",Atos 1:8
6,Como Jesus foi elevado ao céu diante dos discípulos?,"Foi elevado às alturas, e uma nuvem o recebeu, ocultando-o a seus olhos",Atos 1:9
7,Quem apareceu logo após a ascensão de Jesus para falar com os discípulos?,Eis que junto deles se puseram dois homens vestidos de branco,Atos 1:10
8,O que os anjos disseram aos discípulos sobre a volta de Jesus?,Esse Jesus que dentre vós foi assunto ao céu virá do modo como o vistes subir,Atos 1:11
9,De onde os discípulos voltaram para Jerusalém após a ascensão?,"Então voltaram para Jerusalém, do monte chamado das Oliveiras",Atos 1:12
10,Onde os discípulos permaneceram em oração ao voltarem para Jerusalém?,"E, entrando, subiram ao cenáculo",Atos 1:13
11,Quais os nomes dos apóstolos mencionados no versículo 13?,"Pedro e Tiago, João e André, Filipe e Tomé, Bartolomeu e Mateus, Tiago, filho de Alfeu, Simão, o Zelote, e Judas, irmão de Tiago",Atos 1:13
12,Quantas pessoas aproximadamente estavam reunidas no cenáculo com os discípulos - antes da descida do Espírito Santo?,Ora a multidão junta era de quase cento e vinte pessoas,Atos 1:15
13,Quem tomou a palavra para falar sobre a necessidade de substituir Judas?,Levantando-se Pedro no meio dos discípulos,Atos 1:15
14,"Como Judas morreu, segundo o relato de Pedro?","Precipitando-se, rebentou pelo meio, e todas as suas entranhas se derramaram",Atos 1:18
15,Que nome foi dado ao campo comprado com o dinheiro de Judas?,"De maneira que na sua própria língua esse campo se chama Aceldama, isto é, Campo de Sangue",Atos 1:19
16,Qual foi o critério estabelecido para escolher o substituto de Judas?,"Dos homens que conviveram conosco todo o tempo em que o Senhor Jesus entrou e saiu dentre nós, começando desde o batismo de João até ao dia em que de entre nós foi recebido em cima","Atos 1:21,22"
17,Quais dois nomes foram indicados para substituição de Judas?,"José, chamado Barsabás, que tinha por sobrenome o Justo, e Matias",Atos 1:23
18,O que os discípulos fizeram antes de escolher o novo apóstolo?,Oraram pedindo direção ao Senhor,Atos 1:24
19,Como foi feita a escolha entre os dois indicados para ocupar o lugar de Judas?,"E, lançando-lhes sortes",Atos 1:26
20,Quem foi escolhido como apóstolo no lugar de Judas?,Caiu a sorte sobre Matias,Atos 1:26
21,Que evento sobrenatural aconteceu no dia de Pentecostes?,Todos ficaram cheios do Espírito Santo e começaram a falar em outras línguas conforme o Espírito os capacitava.,Atos 2:1-4
22,Como as pessoas reagiram ao ouvirem os discípulos falando em outras línguas?,Ficaram perplexas e admiradas - pois cada um os ouvia falar na sua própria língua.,Atos 2:6-8
23,Que acusações alguns fizeram sobre os discípulos durante a descida do Espírito Santo?,Alguns zombaram e disseram que eles estavam bêbados.,Atos 2:13
24,Como Pedro respondeu à acusação de embriaguez?,Disse que eles não estavam bêbados - pois era apenas a terceira hora do dia (9h da manhã).,Atos 2:15
25,a profecia de qual profeta Pedro citou para explicar o que estava acontecendo - durante a descida do Espíto Santo no capítulo 2?,Citou a profecia de Joel sobre a vinda do Espírito Santo.,Atos 2:16-21
26,Como Jesus foi aprovado por Deus segundo o discurso de Pedro no capítulo 2 de atos?,Disse que Jesus foi aprovado por Deus com milagres...,Atos 2:22-33
27,Pedro faz uma citação - durante sua fala no capítulo 2 - para provar a ressurreição de Jesus - em qual livro da bíblia ela se encontra?,No livro de Salmos,Atos 2:25-28
28,Como Pedro explicou que Jesus é o Senhor e Cristo no seu discurso do capítulo 2 de atos?,Disse que Deus o fez Senhor e Cristo,Atos 2:36
29,Qual foi a reação das pessoas ao ouvirem a pregação de Pedro no capítulo 2 de atos?,Ficaram com o coração compungido e perguntaram o que deveriam fazer.,Atos 2:37
30,O que Pedro respondeu quando perguntaram o que deviam fazer - após sua pregação de Atos 2?,Disse para se arrependerem serem batizados em nome de Jesus Cristo para perdão dos pecados e receberem o Espírito Santo.,Atos 2:38
31,Quantas pessoas aceitaram a mensagem e foram batizadas no dia de pentecostes?,Cerca de três mil pessoas.,Atos 2:41
32,Como vivia a comunidade dos primeiros cristãos - segundo os relatos do capítulo 2?,Perseveravam no ensino dos apóstolos - na comunhão - no partir do pão e nas orações.,Atos 2:42
33,O que os Apostolos faziam em grande frequência - segundo a passagem de atos 2.43?,Muitos sinais e maravilhas eram feitos pelos apóstolos.,Atos 2:43
34,Como os crentes demonstravam unidade, segundo o relato de atos 2?,Tinham tudo em comum vendiam propriedades e distribuíam conforme a necessidade de cada um.,Atos 2:44-45
35,Como era a rotina diária dos cristãos, segundo o capítulo 2?,Perseveravam unânimes no templo - partiam o pão nas casas e comiam com alegria e singeleza de coração.,Atos 2:46
36,Como era a relação dos primeiros cristãos com o povo?,Eles caíam na graça de todo o povo.,Atos 2:47
37,O que o Senhor fazia diariamente na comunidade?,Acrescentava à igreja os que iam sendo salvos.,Atos 2:47
38,O que Pedro e João foram fazer ao templo à hora nona?,Foram para a oração.,Atos 3:1
39,Quem encontraram na porta do templo chamada Formosa?,Um homem coxo de nascença - que pedia esmolas.,Atos 3:2
40,O que o coxo esperava receber de Pedro e João?,Esperava receber uma esmola.,Atos 3:3-5
41,O que Pedro disse ao coxo ao invés de dar dinheiro?,Disse: “Não tenho prata nem ouro - mas o que tenho - isso te dou: em nome de Jesus Cristo - o Nazareno - levanta-te e anda.”,Atos 3:6
42,O que aconteceu ao homem coxo - que estava a porta formosa do templo - depois que Pedro o levantou?,Imediatamente seus pés e tornozelos se firmaram e ele começou a andar - saltar e louvar a Deus.,Atos 3:7-8
43,Como o povo reagiu ao ver o milagre do homem coxo?,Ficaram cheios de admiração e assombro.,Atos 3:9-10
44,Para onde o homem curado foi com Pedro e João?,Entrou com eles no templo - andando - saltando e louvando a Deus.,Atos 3:8
45,Qual local específico dentro do templo as pessoas se reuniram em volta de Pedro e João após a cura do home coxo?,No pórtico chamado de Salomão.,Atos 3:11
46,Como Pedro respondeu à admiração do povo- em relação ao milagre do home coxo?,Disse que não foi por seu próprio poder ou piedade que fizeram aquele homem andar.,Atos 3:12
47,Quem Pedro disse que realizou o milagre no homem coxo?,O Deus de Abraão - Isaque e Jacó glorificou a Jesus e operou o milagre por meio dEle.,Atos 3:13-16
48,Que acusação Pedro fez ao povo sobre Jesus?,Disse que entregaram e negaram Jesus diante de Pilatos e pediram a libertação de um homicida.,Atos 3:13-14
49,Como Pedro chamou Jesus?,O Santo e o Justo - o Autor da vida.,Atos 3:14-15
50,O que fortaleceu o homem que foi curado - segundo Pedro?,A fé no nome de Jesus.,Atos 3:16
51,Pedro disse que eles agiram por ignorância. A quem ele incluía nessa afirmação?,Ao povo e aos seus líderes.,Atos 3:17
52,O que Deus cumpriu por meio do sofrimento de Cristo?,Cumpriu o que fora dito por todos os profetas: que o Cristo haveria de padecer.,Atos 3:18
53,O que Pedro ordenou que o povo fizesse - após sua pregação no capítulo 3?,Que se arrependessem e se convertessem para que seus pecados fossem apagados.,Atos 3:19
54,O que aconteceria após o arrependimento - segundo Pedro?,Viriam tempos de refrigério pela presença do Senhor.,Atos 3:19
55,Quem o céu deve reter até os tempos da restauração?,Jesus Cristo.,Atos 3:20-21
56,Que profecia de Moisés Pedro citou?,Que Deus levantaria um profeta semelhante a ele - e quem não o ouvisse seria eliminado.,Atos 3:22-23
57,Que outros profetas Pedro mencionou além de Moisés - no capítulo 3?,Todos os profetas desde Samuel.,Atos 3:24
58,A quem Pedro disse que a promessa se dirigia?,Aos filhos dos profetas e do pacto feito com Abraão.,Atos 3:25
59,Para que Deus enviou primeiro a Jesus?,Enviou-o primeiro para abençoar - afastando cada um de suas maldades.,Atos 3:26
60,Quem se opôs a Pedro e João enquanto falavam ao povo?,Os sacerdotes - o capitão do templo e os saduceus.,Atos 4:1
61,Por que prenderam Pedro e João - no capítulo 4?,Porque ensinavam ao povo e anunciavam - em Jesus - a ressurreição dos mortos.,Atos 4:2-3
62,Quantos homens creram na mensagem - após o fala de pedro no capítulo 4?,Cerca de cinco mil.,Atos 4:4
63,Quem se reuniu no dia seguinte a cura do homem coxo para julgar Pedro e João?,Os principais líderes judeus - incluindo Anás (sumo sacerdote) - Caifás - João - Alexandre e outros.,Atos 4:5-6
64,O que as autoridades perguntaram a Pedro e João depois do milagre do home coxo?,“Com que poder ou em nome de quem fizestes isso?”,Atos 4:7
65,Como Pedro respondeu à pergunta das autoridades - sobre a cura do homem coxo no capítulo 4?,Disse que foi em nome de Jesus Cristo - a quem crucificaram e Deus ressuscitou.,Atos 4:8-10
66,Como Pedro descreveu Jesus usando uma metáfora das Escrituras - em seu discurso no capítulo 4?,Como a pedra rejeitada pelos construtores - que se tornou a pedra angular.,Atos 4:11
67,O que Pedro declarou sobre a salvação - no seu discurso do capitulo 4?,Que só há salvação em Jesus - e nenhum outro nome foi dado aos homens pelo qual devamos ser salvos.,Atos 4:12
68,Qual foi a reação das autoridades ao verem a coragem de Pedro e João?,Admiraram-se por serem homens sem instrução formal e reconheceram que haviam estado com Jesus.,Atos 4:13
69,Por que não puderam negar o milagre?,Porque o homem curado estava presente e todos sabiam o que havia acontecido.,Atos 4:14-16
70,O que as autoridades decidiram fazer com Pedro e João - após o milagre do homem coxo?,Proibiram-nos de falar ou ensinar em nome de Jesus.,Atos 4:17-18
71,Como Pedro e João responderam à proibição de pregar o evangelho no capítulo 4?,Disseram que deviam obedecer a Deus - não aos homens - e não podiam deixar de falar do que viram e ouviram.,Atos 4:19-20
72,Por que as autoridades libertaram Pedro e João- no capítulo 4?,Porque temiam o povo - que glorificava a Deus pelo milagre.,Atos 4:21
73,Quantos anos tinha o homem que fora curado?,Mais de quarenta anos.,Atos 4:22
74,O que Pedro e João fizeram ao serem soltos - no capíulo 4?,Voltaram para os seus e relataram tudo o que os líderes disseram.,Atos 4:23
75,O que a igreja fez ao ouvir o relato de Pedro e João - após serem soltos no capítulo 4?,Levantaram unanimemente a voz a Deus em oração.,Atos 4:24
76,Quem eles citaram em oração como autor da criação - no capítulo 4?,O Senhor Deus - Criador do céu - da terra - do mar e de tudo o que neles há.,Atos 4:24
77,Que autor bíblico foi citado na oração dos cristão - após Pedro e joão serem soltos?, "que disseste pela boca de Davi - teu servo: ...", Atos 4:25
78,Quem foram os que se uniram contra Jesus - segundo a oração dos Cristãos no capítulo 4?,Herodes - Pôncio Pilatos - os gentios e o povo de Israel.,Atos 4:27
79,O que a igreja pediu a Deus em oração?,Que lhes desse ousadia para falar a palavra e que estendesse sua mão para curar e realizar sinais.,Atos 4:29-30
80,O que aconteceu após a oração da igreja - no capítulo 4?,O lugar onde estavam tremeu - todos ficaram cheios do Espírito Santo e anunciavam a palavra com ousadia.,Atos 4:31
81,Como era a vida em comunidade dos primeiros cristãos - segundo o relato do capítulo 4?,Tinham um só coração e alma - ninguém dizia que coisa alguma era sua - mas tudo era em comum.,Atos 4:32
82,De que forma os apóstolos davam testemunho da ressurreição?,Com grande poder e graça sobre todos eles.,Atos 4:33
83,Havia necessitados entre eles?,Não - pois os que possuíam bens vendiam e distribuíam conforme a necessidade.,Atos 4:34-35
84,Quem era José - chamado Barnabé?,Um levita natural de Chipre, que vendeu um campo e trouxe o dinheiro aos apóstolos.,Atos 4:36-37
85,Quem eram Ananias e Safira?,Um casal que vendeu uma propriedade e reteve parte do valor - mentindo aos apóstolos.,Atos 5:1-2
86,O que Ananias fez de errado?,Reteve parte do valor da venda e mentiu dizendo que havia entregue tudo.,Atos 5:2-3
87,O que Pedro disse a Ananias - apos ele ter mentido sobre a oferta?,Disse que ele havia mentido não aos homens - mas a Deus.,Atos 5:3-4
88,O que aconteceu com Ananias depois da repreensão de Pedro?,Caiu morto imediatamente.,Atos 5:5
89,Como a comunidade reagiu à morte de Ananias?,Sobreveio grande temor sobre todos.,Atos 5:5
90,O que aconteceu com Safira?,Ela chegou perante os apostolos - quade tres horas depois - também mentiu e caiu morta após ser confrontada por Pedro.,Atos 5:7-10
91,Qual foi o resultado do episódio de Ananias e Safira?,Grande temor veio sobre toda a igreja e sobre todos os que ouviram.,Atos 5:11
92,O que os apóstolos faziam entre o povo - segundo o relato do capitulo 5?,Muitos sinais e maravilhas.,Atos 5:12
93,O que as pessoas faziam com os enfermos?,Levavam-nos às ruas em leitos para que - ao menos - a sombra de Pedro os cobrisse.,Atos 5:15
94,As pessoas eram curadas - que ficavam na beira da estrada?,Sim - todos eram curados.,Atos 5:16
95,Quem prendeu os apóstolos novamente - segundo o relato do capitulo 5?,O sumo sacerdote e os saduceus - por inveja.,Atos 5:17-18
96,O que aconteceu durante a noite após a prisão - segundo o relato do capítulo 5?,Um anjo do Senhor abriu as portas da prisão e os libertou.,Atos 5:19
97,O que o anjo ordenou aos apóstolos - apos sairem da prisão?,Que fossem ao templo e pregassem todas as palavras desta vida.,Atos 5:20
98,Para onde os apóstolos foram ao amanhecer - após saírem da prisão libertos por um anjo?,Ao templo - onde começaram a ensinar.,Atos 5:21
99,Como os oficiais reagiram ao encontrarem a prisão vazia - no capítulo 5?,Ficaram perplexos - pois a prisão estava trancada e os guardas em seus postos.,Atos 5:22-24
100,Onde os oficiais  encontraram os apóstolos - após verem a prisão vazia?,Ensinando no templo.,Atos 5:25
101,Como os oficias trouxeram os apostolos de volta - no capítulo 5?,Com cuidado - com medo de serem apedrejados pelo povo.,Atos 5:26
102,O que o sumo sacerdote perguntou aos apóstolos após serem tirados do templo - no capitulo 5?,Por que haviam desobedecido a ordem de não ensinar em nome de Jesus.,Atos 5:28
103,Como Pedro respondeu à acusação dos oficiais - no capítulo 5?,Disse que era necessário obedecer a Deus antes que aos homens.,Atos 5:29
104,O que Pedro disse sobre Jesus novamente - no capitulo 5?,Que foi exaltado por Deus como Príncipe e Salvador para dar arrependimento e perdão.,Atos 5:30-31
105,Quem é testemunha das palavras de Pedro perante os oficiais - no capítuo 5?,Os apóstolos e o Espírito Santo.,Atos 5:32
106,Como os líderes reagiram às palavras de Pedro - no capítulo 5?,Ficaram furiosos e queriam matá-los.,Atos 5:33
107,Quem foi Gamaliel?,Um fariseu e doutor da Lei - respeitado por todos.,Atos 5:34
108,O que Gamaliel aconselhou aos oficiais sobre os apóstolos?,Que deixassem os apóstolos em paz - pois se a obra fosse de Deus - não poderiam destruí-la.,Atos 5:38-39
109,O que os oficiais fizeram com os apostolo após o conselho de Gamaliel?,Os apóstolos foram açoitados e soltos.,Atos 5:40
110,Como os apóstolos reagiram ao castigo dos oficiais - no capitulo 5?,Saíram alegres por terem sido considerados dignos de sofrer por causa do nome de Jesus.,Atos 5:41
111,O que os apóstolos continuaram fazendo - após todos os acontecimentos do capitulo 5?,Ensinavam e anunciavam Jesus como o Cristo todos os dias no templo e nas casas.,Atos 5:42
112,Por que surgiu uma reclamação entre os discípulos no início do capítulo 6?,Porque as viúvas dos helenistas estavam sendo esquecidas na distribuição diária de alimentos.,Atos 6:1  
113,O que os doze apóstolos disseram quando tomaram conhecimento da reclamação?,Que não era razoável deixarem a pregação da palavra para servir às mesas.,Atos 6:2  
114,Qual foi a solução proposta pelos apóstolos para resolver o problema, de servir as mesas?,Que fossem escolhidos sete homens de boa reputação - cheios do Espírito e de sabedoria - para administrar essa tarefa.,Atos 6:3  
115,O que os apóstolos continuariam fazendo ao delegar a função de servir as mesas?,Se dedicariam à oração e ao ministério da palavra.,Atos 6:4  
116,Quantos homens foram escolhidos e quais eram seus nomes?,Sete homens: Estêvão - Filipe - Prócoro - Nicanor - Timão - Parmenas e Nicolau.,Atos 6:5  
117,Quem entre os sete escolhidos foi destacado por sua fé e poder?,Estêvão - cheio de fé e do Espírito Santo.,Atos 6:5  
118,O que os apóstolos fizeram após os sete homens serem escolhidos?,Oraram e impuseram as mãos sobre eles.,Atos 6:6  
119,O que aconteceu com a palavra de Deus após a organização da ajuda aos necessitados?,Crescia cada vez mais -  e o número de discípulos se multiplicava.,Atos 6:7  
120,Que grupo específico começou a obedecer à fé em grande número - no capítulo 6?,Grande parte dos sacerdotes.,Atos 6:7  
121,O que Estêvão começou a fazer entre o povo?,Grandes sinais e maravilhas.,Atos 6:8  
122,Quem começou a discutir com Estêvão e por que não conseguiam resistir a ele?,Homens da sinagoga dos libertos - pois ele falava com sabedoria e pelo Espírito.,Atos 6:9-10  
123,O que os opositores de Estêvão fizeram para acusá-lo?,Instigaram falsos testemunhos dizendo que ele blasfemava contra Moisés e Deus.,Atos 6:11  
124,A quem levaram Estêvão após as acusações?,Ao Sinédrio.,Atos 6:12  
125,Qual foi a acusação levantada pelos falsos testemunhos contra Estêvão?,Que ele dizia que Jesus destruiria o templo e mudaria os costumes de Moisés.,Atos 6:13-14  
126,Como todos que estavam no Sinédrio olharam para Estêvão?,Viram seu rosto como o rosto de um anjo.,Atos 6:15  
